feature1,feature2,label
0.25350386982122997,0.22305464710954737,0
0.1341067694716046,0.7373660372099747,1
0.9869819966520744,0.04346883066305074,1
0.2707026501284687,0.4462256673681829,0
0.4565736494905609,0.44523826820548607,1
0.9430082998015823,0.7505836717367083,1
0.7436542381735671,0.016873249981574356,1
0.2055422601492476,0.26001990694437094,1
0.43603342818169133,0.2939630715577165,1
0.7524613969210585,0.3353683467589953,1
0.6372530280463913,0.9845820380801847,0
0.5598242489911299,0.9564993723225613,1
0.44407818804397037,0.12095826260240561,0
0.7530237309775281,0.9884298406218118,1
0.2099622288770321,0.5783614272052416,0
0.997040921537846,0.3604042297726494,0
0.7773191437777891,0.2384437296897699,1
0.2901743225558885,0.4428708418952112,1
0.2803891877617146,0.8146402460131426,0
0.27221465254976995,0.6949404948973361,0
0.46310272712439493,0.9783788913905332,1
0.8712237951101774,0.970247942890024,1
0.291208080607147,0.2015705679136479,0
0.7671034297077964,0.4871938898131264,0
0.22889050612578954,0.7902299011392387,1
0.2568887287840832,0.42208962980013776,1
0.5943831866756566,0.12240468426236539,1
0.42248174911278324,0.2954744674053791,0
0.040721839379716074,0.11704458042692645,1
0.0052892944322054936,0.8703384801848717,0
